,0
0,-0.01
1,0.12
2,-0.48
3,0.32
4,0.48
5,0.39
6,0.72
7,0.82
8,0.29
9,0.3
10,0.29
11,0.53
12,0.52
13,0.54
14,-0.04
15,0.14
16,0.16
17,-0.16
18,-0.03
19,0.0
20,0.12
21,0.15
22,0.29
23,0.24
24,0.17
25,-0.07
26,0.31
27,0.32
28,0.42
29,0.05
30,0.66
31,0.63
32,0.8
33,0.61
34,0.28
35,0.3
36,0.45
37,0.25
38,0.34
39,-0.05
40,-0.07
41,0.06
42,0.79
43,0.0
44,0.01
45,0.23
46,0.32
47,0.33
48,0.42
49,0.0
50,1.1
51,0.83
52,1.07
53,-0.16
54,0.13
55,0.48
56,0.48
57,0.38
58,0.86
59,0.21
60,0.12
61,-0.02
62,0.12
63,0.22
64,0.16
65,-0.34
66,0.39
67,0.03
68,1.76
69,0.71
70,0.1
71,0.35
72,0.28
73,0.36
74,0.21
75,0.09
76,-0.25
77,-0.25
78,0.08
79,-0.27
80,0.26
81,0.31
82,0.56
83,-0.37
84,0.7
85,-0.81
86,0.29
87,0.0
88,0.36
89,0.54
90,0.61
91,0.49
92,0.59
93,0.2
94,0.5
95,-0.04
96,0.21
97,0.17
98,1.0
99,0.18
100,0.26
101,0.45
102,0.48
103,0.38
104,0.4
105,0.5
106,0.2
107,0.31
108,0.12
109,0.23
110,0.15
111,0.0
112,0.52
113,0.48
114,0.46
115,0.44
116,0.26
117,0.61
118,0.8
119,0.61
120,0.48
121,0.69
122,0.01
123,0.04
124,0.1
125,0.92
126,1.09
127,0.75
128,0.8
129,0.3
130,0.63
131,0.52
132,0.58
133,0.83
134,-0.04
135,-0.07
