,0
0,-0.01
1,0.12
2,0.23
3,0.54
4,0.29
5,0.51
6,0.03
7,0.48
8,0.47
9,0.29
10,0.06
11,-0.15
12,0.16
13,0.18
14,0.07
15,0.11
16,0.1
17,-0.03
18,0.12
19,0.15
20,0.14
21,-0.17
22,0.35
23,0.42
24,0.37
25,0.05
26,0.66
27,0.8
28,0.3
29,0.37
30,0.25
31,0.3
32,0.34
33,0.06
34,0.73
35,0.71
36,0.79
37,0.01
38,0.21
39,0.1
40,0.33
41,0.35
42,0.34
43,0.39
44,0.0
45,1.1
46,0.78
47,0.18
48,-0.04
49,-0.15
50,0.57
51,0.49
52,0.21
53,0.56
54,0.68
55,0.08
56,0.27
57,0.48
58,0.86
59,0.6
60,0.19
61,0.0
62,-0.03
63,-0.24
64,-0.02
65,0.24
66,0.57
67,-0.04
68,0.44
69,0.03
70,0.78
71,-0.24
72,0.35
73,0.28
74,0.36
75,0.36
76,0.38
77,0.35
78,0.21
79,-0.09
80,0.1
81,0.08
82,0.2
83,0.02
84,-0.16
85,0.12
86,0.26
87,0.31
88,0.46
89,0.7
90,0.29
91,0.0
92,0.56
93,0.03
94,0.78
95,0.7
96,0.61
97,0.49
98,0.8
99,0.06
100,0.05
101,0.5
102,-0.07
103,0.21
104,0.26
105,0.19
106,0.51
107,0.44
108,0.48
109,0.5
110,0.23
111,0.2
112,0.33
113,0.44
114,0.48
115,0.52
116,0.46
117,0.44
118,0.1
119,0.61
120,0.68
121,0.56
122,0.01
123,0.12
124,-0.02
125,0.92
126,1.1
127,1.09
128,0.92
129,0.83
130,0.96
131,0.75
132,0.86
133,0.8
134,0.91
135,0.3
136,0.69
137,0.49
138,0.83
139,0.22
140,0.43
141,0.54
